Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;234;138;59;2;2,2;97,8;36,3;31,1;25,9;3;1,5;2,2;0;0;0;x
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;630;429;68,1;1;13;416;147;119;90;38;19;x;x;3;x;x
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;630;429;68,1;1;3;97;35,3;28,6;21,6;9,1;4,6;x;x;0,7;x;x
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;630;429;68,1;2;12;417;146;108;108;25;11;7;5;2;5;x
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;630;429;68,1;2;2,8;97,2;35;25,9;25,9;6;2,6;1,7;1,2;0,5;1,2;x
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2061;1483;72;1;27;1456;552;431;284;87;98;x;x;4;x;x
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2061;1483;72;1;1,8;98,2;37,9;29,6;19,5;6;6,7;x;x;0,3;x;x
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2061;1483;72;2;18;1465;551;383;305;103;57;52;6;4;4;x
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2061;1483;72;2;1,2;98,8;37,6;26,1;20,8;7;3,9;3,5;0,4;0,3;0,3;x
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;470;330;70,2;1;7;323;107;97;89;20;10;x;x;0;x;x
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;470;330;70,2;1;2,1;97,9;33,1;30;27,6;6,2;3,1;x;x;0;x;x
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;470;330;70,2;2;7;323;111;91;87;18;4;8;3;0;1;x
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;470;330;70,2;2;2,1;97,9;34,4;28,2;26,9;5,6;1,2;2,5;0,9;0;0,3;x
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;430;302;70,2;1;7;295;86;113;59;24;12;x;x;1;x;x
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;430;302;70,2;1;2,3;97,7;29,2;38,3;20;8,1;4,1;x;x;0,3;x;x
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;430;302;70,2;2;3;299;82;100;65;31;10;10;1;0;0;x
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;430;302;70,2;2;1;99;27,4;33,4;21,7;10,4;3,3;3,3;0,3;0;0;x
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;566;0;1;2;564;167;188;119;43;37;x;x;10;x;x
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;566;0;1;0,4;99,6;29,6;33,3;21,1;7,6;6,6;x;x;1,8;x;x
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;566;0;2;1;565;180;178;125;38;27;10;4;3;0;x
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;566;0;2;0,2;99,8;31,9;31,5;22,1;6,7;4,8;1,8;0,7;0,5;0;x
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;453;288;63,6;1;8;280;103;105;50;12;1;8;x;x;1;0
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;453;288;63,6;1;2,8;97,2;36,8;37,5;17,9;4,3;0,4;2,9;x;x;0,4;0
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;453;288;63,6;2;8;280;92;103;47;22;9;7;0;0;0;x
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;453;288;63,6;2;2,8;97,2;32,9;36,8;16,8;7,9;3,2;2,5;0;0;0;x
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;917;558;60,9;1;10;548;182;171;132;17;19;21;x;x;0;6
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;917;558;60,9;1;1,8;98,2;33,2;31,2;24,1;3,1;3,5;3,8;x;x;0;1,1
